City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,65.026,-83.5519,-15.15,96,79,1.69,CA,1698639777
1,wailua homesteads,70.8019,-12.7869,0.71,81,100,5.84,SJ,1698639778
2,sturgis,42.3102,10.8028,21.03,88,100,13.02,IT,1698639781
3,badger,45.3333,-102.9715,-8.51,92,11,3.78,US,1698639782
4,tura,-22.0603,25.2074,15.65,78,46,9.16,BW,1698639785
5,az zulfi,-22.1175,-176.1409,23.45,90,3,7.14,TO,1698639786
6,margaret river,26.4264,44.5891,21.98,27,67,3.52,SA,1698639790
7,longyearbyen,59.4989,46.0603,-4.21,91,99,3.54,RU,1698639792
8,san pedro pochutla,50.4337,0.2858,14.2,73,39,10.88,GB,1698639793
9,anadyr,67.1219,-21.4226,3.83,74,26,2.51,IS,1698639800
10,qingquan,30.8028,80.1949,-3.63,33,0,1.41,IN,1698639804
11,kapa'a,12.3165,-10.1456,21.66,79,82,1.05,ML,1698639805
12,kirakira,-40.127,-61.1443,13.2,59,100,16.72,AR,1698639806
13,yuzhno-kurilsk,51.6639,-89.3706,-8.68,96,82,2.03,CA,1698639809
14,bilibino,29.321,84.617,0.42,38,1,0.96,CN,1698639813
15,alingsas,30.3679,115.145,26.22,41,0,1.27,CN,1698639814
16,afaahiti,32.0327,66.5127,16.66,32,0,2.03,AF,1698639817
17,fale old settlement,32.6648,64.4014,17.72,24,0,1.36,AF,1698639818
18,kodiak,-13.7568,-48.4529,28.5,34,71,0.45,BR,1698639819
19,chibougamau,65.1826,52.0145,-6.17,94,100,3.57,RU,1698639820
20,berrahal,26.7495,-97.7105,24.86,81,0,2.8,US,1698639821
21,dalandzadgad,57.9736,12.5611,3.12,98,100,3.22,SE,1698639825
22,tari,33.0056,72.439,25.28,31,0,0.6,PK,1698639826
23,ortakoy,13.4084,23.6772,22.93,22,13,4.55,SD,1698639826
24,pyt-yakh,-40.3788,-74.1011,9.67,61,98,10.86,CL,1698639827
25,whitehorse,21.91,-157.5675,26.21,76,6,5.83,US,1698639829
26,watertown,52.498,-77.3678,-7.11,90,91,2.52,CA,1698639835
27,codrington,36.6291,10.8768,23.07,88,90,6.83,TN,1698639837
28,senekal,37.4518,7.2928,24.67,59,74,7.74,DZ,1698639838
29,las tablas,53.8191,138.0253,4.08,57,100,5.01,RU,1698639839
30,thompson,23.1275,110.3403,24.38,70,93,3.14,CN,1698639840
31,shalqar,-15.9411,-151.7015,26.68,77,6,6.65,PF,1698639842
32,aykhal,43.7112,103.7376,7.6,34,48,10.07,MN,1698639845
33,jamestown,-5.3352,142.7311,18.04,93,94,0.86,PG,1698639847
34,namibe,38.5783,33.7381,15.97,47,100,1.84,TR,1698639848
35,susuman,21.135,107.3766,27.47,65,74,3.33,VN,1698639848
36,isle of lewis,59.4247,73.4237,-8.73,90,94,3.35,RU,1698639849
37,makueni boma,6.2118,157.0659,27.9,74,100,5.02,FM,1698639851
38,garachico,-23.0984,27.4798,13.88,70,100,8.12,BW,1698639852
39,aasiaat,59.4498,5.3897,7.22,65,100,5.14,NO,1698639852
40,albany,-26.9477,145.1749,35.85,11,8,5.02,AU,1698639855
41,el nido,34.3301,-104.1636,-1.2,88,100,7.08,US,1698639858
42,port saint john's,45.7233,-97.4391,-4.39,91,80,5.04,US,1698639858
43,gulf shores,45.7997,137.9812,9.19,66,10,5.86,RU,1698639860
44,naliya,-28.1785,27.7456,4.53,77,100,10.76,ZA,1698639865
45,san fernando,-2.4779,100.1673,25.57,87,84,5.46,ID,1698639866
46,sao bento,6.7045,-80.556,26.82,81,67,5.67,PA,1698639867
47,bardsir,54.4703,-95.7444,-4.23,74,99,2.52,CA,1698639868
48,pangody,47.2559,59.022,9.61,73,98,6.71,KZ,1698639871
49,sariveliler,16.3505,-2.5798,29.16,15,34,3.04,ML,1698639871
50,chengde,20.21,-97.7834,20.95,93,96,0.67,MX,1698639873
51,christchurch,54.9127,-131.5552,5.0,73,100,1.75,US,1698639875
52,kavieng,2.9928,34.4254,19.77,84,95,3.72,UG,1698639875
53,ji parana,59.2187,-5.8454,9.58,62,88,12.87,GB,1698639880
54,utrik,-2.1089,38.2796,22.29,86,40,1.73,KE,1698639882
55,amga,55.6251,-134.9083,9.34,76,100,9.44,US,1698639884
56,city of balikpapan,72.8134,-57.4556,-3.51,66,100,3.7,GL,1698639885
57,lazaro cardenas,50.3849,63.8335,8.39,67,66,8.38,KZ,1698639887
58,ushuaia,52.1206,-71.2829,-7.65,87,59,2.8,CA,1698639888
59,kalmunai,-33.7703,118.8517,16.84,42,61,5.86,AU,1698639892
60,lebu,53.3201,14.1826,11.56,81,100,6.45,DE,1698639894
61,zapresic,54.2951,33.9399,1.56,92,100,5.25,RU,1698639897
62,capim grosso,28.1786,-88.352,26.0,70,8,5.24,US,1698639898
63,kununurra,70.385,61.1521,-2.37,67,33,8.07,RU,1698639901
64,rambha,22.8465,68.2365,27.6,72,0,5.14,IN,1698639903
65,piro,-8.7899,-73.4161,22.52,99,100,0.79,PE,1698639905
66,udachny,-2.642,-44.5995,27.24,84,47,4.42,BR,1698639906
67,ramganj,32.4909,81.194,-5.65,33,34,1.5,CN,1698639908
68,sonsorol village,-4.0152,128.6209,27.82,75,98,2.91,ID,1698639909
69,sur,29.8392,56.8906,11.45,42,57,1.07,IR,1698639911
70,coahuayana de hidalgo,15.1717,23.8063,21.85,19,10,5.44,SD,1698639913
71,polyarnyy,64.2507,141.2836,-16.3,93,99,0.62,RU,1698639916
72,port elizabeth,72.108,73.8643,-7.89,93,52,2.45,RU,1698639917
73,labrador city,36.7247,32.5417,8.57,48,100,0.89,TR,1698639918
74,mostaganem,-49.7799,-68.7477,4.55,66,94,8.57,AR,1698639919
75,kalabo,75.2394,-96.6969,-11.03,90,100,2.61,CA,1698639922
76,east london,40.8188,117.2304,19.1,20,4,0.66,CN,1698639923
77,coruripe,52.7508,2.7574,14.15,74,7,12.04,GB,1698639924
78,vadso,54.6211,111.8308,-12.76,55,2,1.55,RU,1698639924
79,maxixe,-1.388,151.403,26.35,81,92,4.39,PG,1698639925
80,north haven,47.9298,94.6337,2.81,43,75,1.06,MN,1698639926
81,swan hill,39.0446,-116.7204,-2.74,34,0,1.73,US,1698639928
82,hadibu,22.7183,-105.9118,26.2,76,3,3.26,MX,1698639929
83,kristiansund,32.6535,0.1197,18.06,27,81,3.63,DZ,1698639930
84,gao,-10.9492,-62.0691,25.59,65,84,2.17,BR,1698639935
85,saipan,8.6513,107.3606,28.77,78,97,6.53,VN,1698639936
86,qaqortoq,19.0725,-97.3318,7.43,92,63,1.18,MX,1698639937
87,vanimo,38.8926,109.6309,15.93,23,3,5.76,CN,1698639938
88,grottammare,65.8338,120.9731,-10.39,90,98,2.43,RU,1698639942
89,tamanrasset,60.2589,131.8361,-7.59,84,100,2.99,RU,1698639944
90,sao gabriel da cachoeira,22.4848,105.4987,29.38,53,98,0.77,VN,1698639945
91,nantucket,-1.2513,117.2584,32.04,68,6,1.76,ID,1698639946
92,nguigmi,54.5897,71.9162,-1.98,96,100,7.06,RU,1698639947
93,makurazaki,58.0178,116.8629,-11.17,81,78,3.2,RU,1698639951
94,severo-yeniseyskiy,-12.8933,-47.1042,28.74,30,94,0.96,BR,1698639951
95,bodo,40.8727,-118.573,3.09,29,0,1.07,US,1698639954
96,fang,66.6819,124.4874,-10.19,93,100,5.85,RU,1698639959
97,lata,58.6978,162.2949,0.8,58,0,1.44,RU,1698639962
98,tranent,16.6385,-98.8083,24.54,90,21,1.65,MX,1698639963
99,san antonio de pale,30.9461,20.9397,18.67,87,9,3.33,LY,1698639964
100,khowy,36.0893,83.1428,-9.63,46,100,1.57,CN,1698639965
101,praya,23.6297,117.0621,28.03,65,49,3.09,CN,1698639967
102,hamilton,45.9117,15.8535,16.93,76,100,2.03,HR,1698639967
103,gadzhiyevo,-11.4372,-40.0031,20.6,78,6,2.84,BR,1698639969
104,sierre,39.1881,-120.3428,2.58,59,0,3.95,US,1698639972
105,ghat,57.4676,107.5196,-5.2,51,95,3.57,RU,1698639975
106,vallenar,-16.5556,130.1761,37.96,15,98,3.06,AU,1698639977
107,sisimiut,38.0249,-108.5199,-4.19,65,1,2.46,US,1698639984
108,kardla,19.5478,85.3107,26.27,61,8,2.86,IN,1698639985
109,serdar,-14.8046,39.6143,23.82,84,43,0.59,MZ,1698639988
110,vila velha,25.1911,84.6517,26.11,50,4,1.2,IN,1698639989
111,gasa,57.0282,-92.3229,-4.45,83,100,3.17,CA,1698639990
112,naze,15.138,30.7329,26.52,28,76,3.51,SD,1698639992
113,nahiyat al fuhud,-5.0035,108.2002,28.79,68,41,4.4,ID,1698639993
114,pisco,23.1692,90.7728,27.0,60,34,2.22,BD,1698639994
115,newport,57.4835,48.5656,-3.02,96,100,4.67,RU,1698639997
116,voi,6.3226,114.9738,29.2,72,86,6.31,MY,1698640002
117,okha,69.4801,-142.7626,-3.07,72,95,1.82,US,1698640003
118,shimoda,-3.6934,-45.1564,24.38,79,0,2.33,BR,1698640005
119,mogocha,45.7027,-104.6593,-12.87,98,48,2.67,US,1698640006
120,letterkenny,23.2067,-107.4779,27.05,75,1,5.81,MX,1698640013
121,twon-brass,36.3989,79.4552,-1.4,28,27,1.36,CN,1698640014
122,hithadhoo,57.4402,-65.2071,-10.71,94,99,4.91,CA,1698640016
123,langepas,36.8891,-0.0927,20.22,72,100,6.89,ES,1698640016
124,tha khanon,6.1379,101.7681,26.05,60,99,0.98,TH,1698640017
125,asau,-15.1085,20.3875,19.18,68,92,1.57,AO,1698640019
126,lycksele,20.82,-97.9433,22.45,92,33,1.26,MX,1698640022
127,tarauaca,-9.9946,-36.1955,23.6,76,54,2.3,BR,1698640026
128,aginskoye,55.8806,52.6684,1.5,96,100,6.44,RU,1698640030
129,olutanga,-22.7188,34.4311,19.09,69,100,5.52,MZ,1698640031
130,radzyn podlaski,53.505,-174.7794,7.49,85,82,5.82,US,1698640032
131,byron bay,-54.8432,-34.5028,2.77,97,100,15.31,GS,1698640032
132,ta`u,-34.5116,137.347,15.34,62,42,10.41,AU,1698640034
133,taos,31.6262,-92.3286,22.71,83,78,3.91,US,1698640035
134,lihue,-35.7314,142.6955,25.93,19,50,10.33,AU,1698640039
135,sambava,46.3852,111.0326,2.77,44,100,6.99,MN,1698640045
136,tsarevo,50.5951,-99.785,-6.74,93,96,5.08,CA,1698640047
137,champerico,9.7029,101.0018,27.98,76,100,7.33,TH,1698640051
138,coyhaique,66.247,54.1355,-7.78,92,100,4.77,RU,1698640053
139,freetown,71.8222,-8.7935,0.29,71,100,5.54,SJ,1698640053
140,santa elena de uairen,9.1988,6.759,24.6,61,100,0.79,NG,1698640057
141,stettler,17.2905,0.7204,26.73,12,22,3.59,ML,1698640057
142,manta,35.8885,66.3612,18.16,32,7,0.78,AF,1698640061
143,"laikit, laikit ii (dimembe)",73.1733,80.9859,-10.83,100,99,0.46,RU,1698640062
144,touros,1.2252,-77.9414,11.85,96,100,0.51,CO,1698640068
145,carutapera,-1.0142,30.1292,14.97,90,54,0.98,UG,1698640072
146,bamusso,-31.6978,125.7447,20.12,34,100,6.61,AU,1698640072
147,kanniyakumari,43.2912,14.3953,20.29,76,16,7.68,IT,1698640073
148,ciudad constitucion,13.0808,124.8963,29.47,71,95,6.94,PH,1698640074
149,al jawf,13.8733,-58.3657,28.06,75,100,5.67,BB,1698640075
150,enriquillo,22.2357,5.0145,23.72,19,6,3.86,DZ,1698640076
151,hobyo,21.9834,109.3819,26.52,70,66,2.92,CN,1698640077
152,uglegorsk,30.2067,-3.6368,21.07,24,96,7.23,DZ,1698640078
153,dawei,-0.2198,-65.0333,26.9,60,87,1.16,BR,1698640079
154,mudgee,-13.0032,19.4588,16.7,70,78,0.81,AO,1698640080
155,altay,13.7241,13.1942,27.63,41,0,6.4,NE,1698640084
156,miracema do tocantins,66.336,-143.0845,-6.24,86,100,0.46,US,1698640085
157,sangmelima,-21.5806,-69.584,16.77,48,56,0.87,CL,1698640086
158,aripuana,-31.4234,27.493,1.61,78,34,4.29,ZA,1698640090
159,aitape,31.1384,128.8301,19.88,54,17,5.11,JP,1698640091
160,urangan,62.175,94.0452,-15.86,94,97,0.51,RU,1698640091
161,cartagena,64.7958,-53.6711,1.89,85,100,10.51,GL,1698640092
162,mancio lima,4.7054,40.646,20.82,90,100,3.95,ET,1698640096
163,labytnangi,67.6554,14.8636,-3.4,80,89,3.01,NO,1698640097
164,ciudad lazaro cardenas,63.0654,-74.1725,-3.61,66,95,1.06,CA,1698640098
165,itaituba,33.6052,-78.3211,21.68,85,0,5.36,US,1698640102
166,rio grande,35.081,54.434,21.67,21,37,0.94,IR,1698640103
167,altpinar,50.7137,-90.6315,-9.93,98,86,2.2,CA,1698640105
168,tranovaho,56.4631,-129.6376,1.88,56,100,0.47,CA,1698640109
169,kyren,20.5806,98.8928,26.92,54,71,0.54,MM,1698640111
170,elk city,55.4021,-120.7261,-2.03,60,100,1.51,CA,1698640113
171,bocas del toro,-10.3656,166.2395,27.82,78,98,7.03,SB,1698640116
172,laurel bay,55.8158,-2.9041,6.57,72,100,4.12,GB,1698640117
